20MICRONS,20 Microns Limited,EQ,5
21STCENMGM,21st Century Management Services Limited,EQ,10
360ONE,360 ONE WAM LIMITED,EQ,1
3IINFOLTD,3i Infotech Limited,EQ,10
3MINDIA,3M India Limited,EQ,10
3PLAND,3P Land Holdings Limited,EQ,2
4THDIM,Fourth Dimension Solutions Limited,BE,2
5PAISA,5Paisa Capital Limited,EQ,10
63MOONS,63 moons technologies limited,EQ,2
A2ZINFRA,A2Z Infra Engineering Limited,EQ,10
AAATECH,AAA Technologies Limited,EQ,10
AAKASH,Aakash Exploration Services Limited,EQ,1
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,10
AARON,Aaron Industries Limited,EQ,10
AARTIDRUGS,Aarti Drugs Limited,EQ,10
AARTIIND,Aarti Industries Limited,EQ,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,5
AARTISURF,Aarti Surfactants Limited,EQ,10
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,10
AARVI,Aarvi Encon Limited,EQ,10
AAVAS,Aavas Financiers Limited,EQ,10
ABAN,Aban Offshore Limited,EQ,2
ABB,ABB India Limited,EQ,2
ABBOTINDIA,Abbott India Limited,EQ,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,10
ABMINTLLTD,ABM International Limited,BE,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,5
ACC,ACC Limited,EQ,10
ACCELYA,Accelya Solutions India Limited,EQ,10
ACCURACY,Accuracy Shipping Limited,EQ,1
ACE,Action Construction Equipment Limited,EQ,2
ACEINTEG,Ace Integrated Solutions Limited,BE,10
ACI,Archean Chemical Industries Limited,EQ,2
ADANIENT,Adani Enterprises Limited,EQ,1
ADANIGREEN,Adani Green Energy Limited,EQ,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,2
ADANIPOWER,Adani Power Limited,EQ,10
ADANITRANS,Adani Transmission Limited,EQ,10
ADFFOODS,ADF Foods Limited,EQ,10
ADL,Archidply Decor Limited,BE,10
ADORWELD,Ador Welding Limited,EQ,10
ADROITINFO,Adroit Infotech Limited,EQ,10
ADSL,Allied Digital Services Limited,EQ,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,2
AEGISCHEM,Aegis Logistics Limited,EQ,1
AETHER,Aether Industries Limited,EQ,10
AFFLE,Affle (India) Limited,EQ,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,10
AGI,AGI Greenpac Limited,EQ,2
AGRITECH,Agri-Tech (India) Limited,EQ,10
AGROPHOS,Agro Phos India Limited,EQ,10
AGSTRA,AGS Transact Technologies Limited,EQ,10
AHL,Abans Holdings Limited,EQ,2
AHLADA,Ahlada Engineers Limited,EQ,10
AHLEAST,Asian Hotels (East) Limited,EQ,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,2
AIAENG,AIA Engineering Limited,EQ,2
AIRAN,Airan Limited,EQ,2
AIROLAM,Airo Lam limited,EQ,10
